"emp_id","full_name","job_title","department","business_unit","gender","age","country","city","experience","salary"
"E02254","Jaxson Sandoval","Sr. Analyst","Sales","Speciality Products","Male",61,"Brazil","Sao Paulo",7,NULL
"E03394","Joseph Ly","Vice President","Marketing","Speciality Products","Male",40,"China","Chongqing",15,NULL
"E02942","Daniel Richardson","Director","Engineering","Speciality Products","Male",30,"United States","Austin",6,NULL
"E04130","Elias Figueroa","Sr. Manger","Finance","Corporate","Male",45,"United States","Phoenix",2,NULL
"E02848","Emma Brooks","Sr. Account Representative","Sales","Research & Development","Female",30,"United States","Austin",7,NULL
"E00085","Isla Wong","Vice President","Accounting","Corporate","Female",56,"United States","Austin",10,NULL
"E03956","Everly Walker","Sr. Manger","Sales","Research & Development","Female",62,"United States","Austin",24,NULL
"E00672","Mila Pena","Sr. Business Partner","Human Resources","Manufacturing","Female",45,"Brazil","Manaus",16,NULL
"E03506","Jaxson Mai","Vice President","Human Resources","Research & Development","Male",48,"United States","Austin",10,NULL
"E00568","Ava Garza","Director","Accounting","Manufacturing","Female",27,"United States","Phoenix",5,NULL
"E04630","Maria Griffin","Manager","Marketing","Manufacturing","Female",59,"United States","Miami",17,NULL
"E00874","Alexander Choi","Manager","Marketing","Research & Development","Male",55,"United States","Chicago",29,NULL
"E01546","Maria Hong","Vice President","Finance","Speciality Products","Female",43,"China","Chongqing",18,NULL
"E00941","Sophie Ali","Analyst","Finance","Manufacturing","Female",55,"United States","Columbus",22,NULL
"E03446","Julian Ross","Manager","Marketing","Research & Development","Male",51,"United States","Miami",3,NULL
"E01631","Leilani Yee","Sr. Analyst","Marketing","Speciality Products","Female",47,"China","Chengdu",6,NULL
"E03719","Jack Brown","Analyst","Marketing","Corporate","Male",55,"United States","Phoenix",19,NULL
"E02803","Eli Soto","Analyst","Marketing","Speciality Products","Male",38,"Brazil","Rio de Janerio",8,NULL
"E01584","Carter Mejia","Sr. Manger","Human Resources","Research & Development","Male",29,"Brazil","Sao Paulo",5,NULL
"E02489","Ethan Clark","Sr. Business Partner","Human Resources","Manufacturing","Male",33,"United States","Columbus",6,NULL
"E03189","Asher Jackson","Sr. Manger","Sales","Speciality Products","Male",50,"United States","Columbus",21,NULL
"E03560","Ayla Ng","Account Representative","Sales","Manufacturing","Female",46,"China","Beijing",20,NULL
"E00769","Jose Kang","Engineering Manager","Engineering","Corporate","Male",57,"China","Shanghai",25,NULL
"E02791","Aubrey Romero","Director","Sales","Corporate","Female",49,"United States","Phoenix",26,NULL
"E01002","Elias Ali","Manager","Sales","Corporate","Male",28,"China","Shanghai",3,NULL
"E03520","Nolan Pena","Analyst","Marketing","Manufacturing","Male",30,"Brazil","Sao Paulo",5,NULL
"E00752","Luna Liu","Vice President","Sales","Manufacturing","Female",36,"China","Shanghai",10,NULL
"E02639","Hadley Parker","Vice President","Marketing","Corporate","Female",30,"United States","Columbus",7,NULL
"E02183","Sarah Ayala","Analyst","Sales","Corporate","Female",47,"United States","Seattle",9,NULL
"E00715","Elijah Kang","Vice President","Engineering","Manufacturing","Male",35,"United States","Seattle",12,NULL
"E04288","Ella White","Development Engineer","Engineering","Manufacturing","Female",25,"United States","Phoenix",4,NULL
"E02421","Jordan Truong","Director","Engineering","Speciality Products","Male",45,"United States","Miami",9,NULL
"E03615","Daniel Dixon","Operations Engineer","Engineering","Speciality Products","Male",51,"United States","Austin",24,NULL
"E02761","Luca Duong","Manager","Human Resources","Research & Development","Male",48,"China","Chengdu",19,NULL
"E02121","Levi Brown","Sr. Analyst","Sales","Corporate","Male",36,"United States","Chicago",2,NULL
"E01486","Mason Cho","Vice President","Accounting","Research & Development","Male",59,"United States","Chicago",13,NULL
"E00725","Nova Herrera","Account Representative","Sales","Speciality Products","Female",45,"Brazil","Sao Paulo",10,NULL
"E03027","Elijah Watson","Sr. Manger","Sales","Manufacturing","Male",29,"United States","Seattle",7,NULL
"E03689","Wesley Gray","Sr. Analyst","Accounting","Speciality Products","Male",62,"United States","Seattle",21,NULL
"E01286","Mateo Mendez","Development Engineer","Engineering","Research & Development","Male",47,"United States","Austin",25,NULL
"E01409","Jose Molina","Controls Engineer","Engineering","Manufacturing","Male",40,"Brazil","Manaus",16,NULL
"E00626","Luna Simmons","Sr. Analyst","Finance","Corporate","Female",28,"United States","Chicago",3,NULL
"E04342","Samantha Barnes","Vice President","Marketing","Speciality Products","Female",29,"United States","Columbus",7,NULL
"E03904","Hunter Ortiz","Sr. Analyst","Finance","Corporate","Male",46,"Brazil","Rio de Janerio",11,NULL
"E01291","Thomas Aguilar","Sr. Account Representative","Sales","Speciality Products","Male",45,"United States","Phoenix",3,NULL
"E00917","Skylar Bell","Vice President","Engineering","Manufacturing","Female",30,"United States","Columbus",6,NULL
"E03864","Ella Hunter","Analyst","Finance","Manufacturing","Female",51,"United States","Columbus",7,NULL
"E00488","Emery Hunter","Sr. Analyst","Sales","Corporate","Female",28,"United States","Phoenix",2,NULL
"E04802","Lucy Fong","Sr. Account Representative","Sales","Corporate","Female",40,"China","Chengdu",13,NULL
"E01970","Vivian Barnes","Director","Human Resources","Research & Development","Female",51,"United States","Phoenix",3,NULL
"E02813","Kai Chow","Engineering Manager","Engineering","Corporate","Male",45,"United States","Austin",23,NULL
"E02031","Melody Cooper","Development Engineer","Engineering","Research & Development","Female",44,"United States","Austin",14,NULL
"E03252","James Bui","Manager","Finance","Manufacturing","Male",64,"China","Chongqing",25,NULL
"E04871","Liam Grant","Sr. Business Partner","Human Resources","Research & Development","Male",30,"United States","Phoenix",9,NULL
"E03547","Owen Han","Analyst","Accounting","Corporate","Male",28,"China","Chongqing",7,NULL
"E04742","Kinsley Vega","Vice President","Accounting","Corporate","Female",33,"Brazil","Rio de Janerio",3,NULL
"E01070","Leonardo Martin","Manager","Finance","Speciality Products","Male",51,"United States","Chicago",29,NULL
"E04359","Greyson Lam","Vice President","Accounting","Manufacturing","Male",25,"United States","Miami",3,NULL
"E03268","Emilia Rivera","Test Engineer","Engineering","Research & Development","Female",42,"United States","Miami",6,NULL
"E04035","Penelope Johnson","Sr. Analyst","Marketing","Research & Development","Female",34,"United States","Chicago",11,NULL
"E01221","Eva Figueroa","Analyst II","Sales","Research & Development","Female",48,"United States","Seattle",10,NULL
"E00276","Ezekiel Jordan","Sr. Manger","Accounting","Corporate","Male",33,"United States","Columbus",11,NULL
"E01687","Luke Mai","HRIS Analyst","Human Resources","Research & Development","Male",41,"China","Beijing",16,NULL
"E02844","Charles Diaz","Sr. Manger","Sales","Corporate","Male",55,"Brazil","Sao Paulo",10,NULL
"E01263","Adam Espinoza","Test Engineer","Engineering","Manufacturing","Male",36,"United States","Seattle",15,NULL
"E00119","Jack Maldonado","Director","Engineering","Research & Development","Male",31,"Brazil","Sao Paulo",3,NULL
"E00742","Cooper Mitchell","Manager","Sales","Speciality Products","Male",43,"United States","Seattle",18,NULL
"E02810","Layla Torres","Sr. Manger","Finance","Manufacturing","Female",37,"Brazil","Rio de Janerio",11,NULL
"E01860","Jack Edwards","Manager","Marketing","Manufacturing","Male",38,"United States","Columbus",16,NULL
"E04890","Eleanor Chan","Sr. Manger","Accounting","Manufacturing","Female",49,"China","Shanghai",23,NULL
"E02285","Aria Xi","Director","Sales","Research & Development","Female",45,"United States","Seattle",22,NULL
"E00842","John Vega","Vice President","Finance","Corporate","Male",50,"Brazil","Rio de Janerio",20,NULL
"E01271","Luke Munoz","Director","Engineering","Speciality Products","Male",64,"Brazil","Manaus",6,NULL
"E01921","Sarah Daniels","Sr. Manger","Accounting","Manufacturing","Female",55,"United States","Miami",13,NULL
"E03664","Aria Castro","Engineering Manager","Engineering","Speciality Products","Female",45,"Brazil","Rio de Janerio",10,NULL
"E04167","Henry Alvarez","Sr. Business Partner","Human Resources","Manufacturing","Male",48,"Brazil","Manaus",19,NULL
"E01986","Wesley Sharma","Manager","IT","Corporate","Male",51,"China","Shanghai",30,35000
"E00245","Benjamin Delgado","Test Engineer","Engineering","Corporate","Male",64,"United States","Austin",31,NULL
"E00976","Zoe Rodriguez","Director","Human Resources","Speciality Products","Female",65,"United States","Phoenix",20,NULL
"E01807","Cameron Evans","Test Engineer","Engineering","Corporate","Male",50,"United States","Columbus",5,NULL
"E04103","Isabella Soto","Vice President","Finance","Corporate","Female",27,"Brazil","Sao Paulo",2,NULL
"E01412","Eva Jenkins","Sr. Manger","Human Resources","Manufacturing","Female",55,"United States","Chicago",19,NULL
"E04386","Cameron Powell","Business Partner","Human Resources","Manufacturing","Male",41,"United States","Austin",19,NULL
"E01232","Samantha Foster","Vice President","Human Resources","Research & Development","Female",34,"United States","Austin",4,NULL
"E00178","Harper Alexander","Sr. Analyst","Sales","Speciality Products","Female",26,"United States","Phoenix",4,NULL
"E01091","Carter Reed","Development Engineer","Engineering","Manufacturing","Male",40,"United States","Seattle",18,NULL
"E01309","Everleigh Jiang","Director","Accounting","Research & Development","Female",58,"United States","Columbus",21,NULL
"E02378","Audrey Smith","Field Engineer","Engineering","Research & Development","Female",58,"United States","Columbus",28,NULL
"E04127","Emery Acosta","Vice President","Sales","Research & Development","Female",42,"United States","Columbus",10,NULL
"E02072","Charles Robinson","HRIS Analyst","Human Resources","Speciality Products","Male",26,"United States","Seattle",3,NULL
"E02555","Landon Lopez","Sr. Analyst","Accounting","Manufacturing","Male",38,"Brazil","Sao Paulo",15,NULL
"E00187","Miles Mehta","Director","Finance","Research & Development","Male",64,"United States","Miami",28,NULL
"E04332","Ezra Simmons","Automation Engineer","Engineering","Speciality Products","Male",38,"United States","Phoenix",13,NULL
"E02062","Nora Santiago","Analyst","Accounting","Research & Development","Female",55,"Brazil","Rio de Janerio",27,NULL
"E00034","Caroline Herrera","Sr. Manger","Marketing","Manufacturing","Female",45,"Brazil","Rio de Janerio",19,NULL
"E00273","David Owens","Sr. Analyst","Sales","Corporate","Male",43,"United States","Austin",20,NULL
"E03438","Asher Morales","Automation Engineer","Engineering","Research & Development","Male",52,"Brazil","Sao Paulo",3,NULL
"E04136","Mason Cao","Analyst II","Finance","Corporate","Male",52,"China","Beijing",6,NULL
"E02944","Joshua Fong","Vice President","Engineering","Speciality Products","Male",47,"China","Beijing",12,NULL
"E03300","Maria Chin","Analyst","Marketing","Manufacturing","Female",65,"China","Beijing",10,NULL
"E00078","Eva Garcia","HRIS Analyst","Human Resources","Corporate","Female",31,"Brazil","Manaus",3,NULL
"E00825","Anna Molina","Sr. Analyst","Accounting","Corporate","Female",41,"United States","Columbus",7,NULL
"E04972","Logan Bryant","Sr. Manger","Marketing","Speciality Products","Male",30,"United States","Miami",3,NULL
"E02148","Christopher Vega","Engineering Manager","Engineering","Research & Development","Male",54,"United States","Chicago",16,NULL
"E02252","Lillian Park","Analyst","Marketing","Research & Development","Female",40,"China","Chengdu",3,NULL
"E03096","Kennedy Zhang","Director","Finance","Research & Development","Female",63,"China","Chongqing",23,NULL
"E04800","Eli Han","Sr. Analyst","Accounting","Manufacturing","Male",40,"China","Chengdu",8,NULL
"E02838","Julia Pham","Engineering Manager","Engineering","Speciality Products","Female",65,"China","Shanghai",18,NULL
"E02980","Hailey Shin","Director","Human Resources","Corporate","Female",57,"China","Shanghai",7,NULL
"E04477","Connor Grant","Sr. Analyst","Accounting","Speciality Products","Male",27,"United States","Seattle",2,NULL
"E04348","Natalia Owens","Manager","Human Resources","Manufacturing","Female",31,"United States","Austin",3,NULL
"E03419","Jade Yi","Account Representative","Sales","Speciality Products","Female",47,"China","Chongqing",8,NULL
"E04222","Quinn Xiong","Test Engineer","Engineering","Research & Development","Female",55,"United States","Columbus",10,NULL
"E04126","Dominic Baker","Sr. Analyst","Accounting","Manufacturing","Male",51,"United States","Chicago",3,NULL
"E01896","Adam Nelson","Director","Finance","Speciality Products","Male",25,"United States","Chicago",4,NULL
"E03018","Autumn Reed","Development Engineer","Engineering","Corporate","Female",37,"United States","Miami",6,NULL
"E03325","Robert Edwards","HRIS Analyst","Human Resources","Corporate","Male",62,"United States","Seattle",19,NULL
"E04037","Roman Martinez","Sr. Manger","Finance","Research & Development","Male",31,"Brazil","Manaus",8,NULL
"E01902","Eleanor Li","Sr. Manger","Human Resources","Research & Development","Female",64,"United States","Chicago",20,NULL
"E01466","Connor Vang","Analyst","Sales","Speciality Products","Male",25,"United States","Miami",2,NULL
"E02038","Ellie Chung","Sr. Manger","Marketing","Corporate","Female",59,"China","Chongqing",15,NULL
"E02744","Dylan Padilla","HRIS Analyst","Human Resources","Manufacturing","Male",31,"United States","Seattle",8,NULL
"E00702","Nathan Pham","Sr. Manger","Accounting","Manufacturing","Male",45,"United States","Seattle",17,NULL
"E03081","Ayla Brown","Sr. Manger","Sales","Manufacturing","Female",49,"United States","Phoenix",11,NULL
"E04029","Jayden Jimenez","Manager","Human Resources","Corporate","Male",46,"Brazil","Rio de Janerio",12,NULL
"E01116","Jaxon Tran","Sr. Manger","Sales","Manufacturing","Male",45,"China","Shanghai",16,NULL
"E01753","Connor Fong","Manager","Accounting","Speciality Products","Male",40,"United States","Seattle",6,NULL
"E04072","Emery Mitchell","Vice President","Finance","Manufacturing","Female",48,"United States","Seattle",6,NULL
"E04419","Sophia Ahmed","Sr. Manger","Sales","Speciality Products","Female",30,"United States","Seattle",8,NULL
"E00467","Sofia Dinh","Operations Engineer","Engineering","Corporate","Female",55,"United States","Chicago",28,NULL
"E00365","Jonathan Patel","Manager","Marketing","Corporate","Male",28,"China","Shanghai",4,NULL
"E00306","Piper Patterson","Quality Engineer","Engineering","Corporate","Female",45,"United States","Chicago",4,NULL
"E04779","Cameron Young","Vice President","Engineering","Manufacturing","Male",63,"United States","Seattle",8,NULL
"E00501","Melody Ho","Analyst II","Finance","Research & Development","Female",55,"United States","Columbus",16,NULL
"E01132","Aiden Bryant","Account Representative","Sales","Manufacturing","Male",47,"United States","Columbus",21,NULL
"E00556","Grayson Walker","Director","Accounting","Manufacturing","Male",29,"United States","Seattle",7,NULL
"E00311","Scarlett Figueroa","Business Partner","Human Resources","Speciality Products","Female",34,"United States","Miami",7,NULL
"E03251","Ruby Medina","Director","Sales","Manufacturing","Female",50,"United States","Seattle",5,NULL
"E03167","Luke Zheng","Director","Human Resources","Speciality Products","Male",39,"China","Beijing",17,NULL
"E03347","Rylee Dinh","Development Engineer","Engineering","Speciality Products","Female",35,"China","Chongqing",7,NULL
"E00422","Jade Acosta","Development Engineer","Engineering","Research & Development","Female",47,"United States","Seattle",8,NULL
"E00265","Mila Vasquez","Quality Engineer","Engineering","Manufacturing","Female",60,"United States","Columbus",25,NULL
"E04601","Allison Ayala","Analyst","Finance","Corporate","Female",36,"United States","Austin",14,NULL
"E02147","Allison Medina","Manager","Finance","Speciality Products","Female",55,"Brazil","Sao Paulo",14,NULL
"E02914","Maria Wilson","Vice President","Engineering","Research & Development","Female",51,"United States","Columbus",27,NULL
"E03972","Jordan Gomez","Sr. Analyst","Accounting","Research & Development","Male",58,"Brazil","Rio de Janerio",29,NULL
"E02189","Isla Chavez","Account Representative","Sales","Research & Development","Female",29,"Brazil","Rio de Janerio",6,NULL
"E03630","Jacob Davis","Director","Accounting","Research & Development","Male",36,"United States","Chicago",7,NULL
"E00432","Eli Gupta","Director","Human Resources","Research & Development","Male",37,"China","Beijing",12,NULL
"E03045","Andrew Huynh","Business Partner","Human Resources","Speciality Products","Male",57,"United States","Miami",27,NULL
"E01924","Anna Gutierrez","Director","Engineering","Research & Development","Female",59,"Brazil","Sao Paulo",21,NULL
"E04877","Samuel Vega","Analyst II","Marketing","Speciality Products","Male",37,"United States","Miami",11,NULL
"E04590","Isaac Sanders","HRIS Analyst","Human Resources","Manufacturing","Male",49,"United States","Miami",23,NULL
"E01977","Raelynn Gupta","Sr. Manger","Finance","Corporate","Female",48,"China","Chongqing",22,NULL
